username,name,category,buy_price,random_multipliers,sell_price,pic
Weravinut1948,Moto G Play | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Blue ,cellphone,50.6,0.5765,29.1709,https://m.media-amazon.com/images/I/81O2fXSlHCL._AC_UY218_.jpg
Neques1986,"Samsung Galaxy S10, 128GB, Prism Black - Unlocked (Renewed Premium) ",cellphone,10,0.0327,0.327,https://m.media-amazon.com/images/I/71GbORP-umL._AC_UY218_.jpg
Mact2003,"Apple iPhone 12 Pro, 128GB, Gold - Fully Unlocked (Renewed) ",cellphone,110.5,0.583,64.4215,https://m.media-amazon.com/images/I/41iyYW-CrsL._AC_UY218_.jpg
Arse1939,Moto G fast | 2020 | Unlocked | Made for US by Motorola | 3/32GB | 16MP Camera | White ,cellphone,111.9,0.8784,98.29296,https://m.media-amazon.com/images/I/51ikeMqMptL._AC_UY218_.jpg
Whypeor37,Motorola edge | Unlocked | Made for US by Motorola | 6/256GB | 64MP Camera | 2020 | Solor Black ,cellphone,142.1,0.0079,1.12259,https://m.media-amazon.com/images/I/61u374-jlJL._AC_UY218_.jpg
Baccerst1960,TracFone Blu View 2 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA ,cellphone,214.9,0.1138,24.45562,https://m.media-amazon.com/images/I/61FTAE2vtCL._AC_UL320_.jpg
Arse1939,Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray ,cellphone,30,0.1296,3.888,https://m.media-amazon.com/images/I/71cQllfqhoL._AC_UL320_.jpg
Hieving,"Samsung Galaxy A50 SM-A505G 128GB, Dual Sim, 6.4"" Infinity-U Display, Triple Camera, 4GB RAM, GSM Unlocked International Model, No Warranty (Blue) ",cellphone,378.3,0.6279,237.53457,https://m.media-amazon.com/images/I/711PvTS05pL._AC_UL320_.jpg
Bacracks,"Samsung Galaxy J3 2018 (16GB) J337A - 5.0"" HD Display, Android 8.0, 4G LTE AT&T Unlocked GSM Smartphone (Silver) ",cellphone,322.9,0.9454,305.26966,https://m.media-amazon.com/images/I/81O2fXSlHCL._AC_UL320_.jpg
Deave1992,SUNCROWN Outdoor Patio Furniture Set 7 Piece Outdoor Sectional Sofa PE Rattan Wicker Conversation Sofa Set with Washable Cushions and Coffee Table (Grey) ,furniture,214.9,0.2721,58.47429,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UL320_.jpg
Patents,East West Furniture AVT-SBR-TP Butterfly Leaf Oval Top Surface and Saddle Brown Finish Pedestal Legs Hardwood Frame Wood Dining Table ,furniture,142.1,0.0111,1.57731,https://m.media-amazon.com/images/I/7150tUunFnL._AC_UL320_.jpg
Meren1977,"ACME Furniture Noralie Console Table, Mirrored and Faux Diamonds ",furniture,111.9,0.6536,73.13784,https://m.media-amazon.com/images/I/61jKxwxAZFL._AC_UL320_.jpg
Therseld,"Progressive Furniture Seascape1 Tables, 3 Pack, Textured White ",furniture,152,0.0293,4.4536,https://m.media-amazon.com/images/I/61QCiST8U1L._AC_UL320_.jpg
Busequithe,"D̩cor Therapy Rowan 3-Drawer Weathered Chalkboard Console Table, 44.5x13.5x44.5, ",furniture,291.1,0.6932,201.79052,https://m.media-amazon.com/images/I/41C6BtQEd4L._AC_UL320_.jpg
Hatmarat,"Decor Therapy Bailey Bead board 4-Drawer Console Table, 14x32x32, Antique Navy ",furniture,10,0.1907,1.907,https://m.media-amazon.com/images/I/71usm8vWd1L._AC_UY218_.jpg
Fortand,"47_'TV Stand Console Sofa Table & Industrial Console Table 3-Tier Rustic Console Entryway/Hallway Table with Storage for Living Room, Open Bookshelf in Bedroom Entryway,Brown Oak ",furniture,304.5,0.9106,277.2777,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg
